id,year,state_name,state_code,district_name,district_code,registration_circles,protection_of_civil_rights_act,murder,attempt_to_commit_murder,rape,attempt_to_commit_rape,assault_on_women,insult_to_the_modesty_of_women,kidnapping_and_abduction,dacoity,robbery,arson,grievous_hurt,riots,other_ipc_crimes,sc_st_prevention_of_atrocities
438,2016,Maharashtra,27,Ratnagiri,492,Ratnagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,2016,Maharashtra,27,Sangli,493,Sangli,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
440,2016,Maharashtra,27,Satara,494,Satara,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
441,2016,Maharashtra,27,Sindhudurg,495,Sindhudurg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,2016,Maharashtra,27,Solapur,496,Solapur Commr.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
443,2016,Maharashtra,27,Solapur,496,Solapur Rural,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
444,2016,Maharashtra,27,Thane,497,Thane Commr.,0,1,0,2,0,1,0,0,0,0,0,0,3,0,2
445,2016,Maharashtra,27,Thane,497,Thane Rural,0,0,0,1,0,1,0,0,0,0,0,1,1,3,0
446,2016,Maharashtra,27,Wardha,498,Wardha,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0
447,2016,Maharashtra,27,Washim,499,Washim,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
448,2016,Maharashtra,27,Yavatmal,500,Yavatmal,0,2,0,18,0,15,1,0,0,0,0,0,2,15,6
449,2016,Manipur,14,Bishnupur,252,Bishnupur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451,2016,Manipur,14,Churachandpur,254,Churachandpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,2016,Manipur,14,Imphal West,256,C. I. D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,2016,Manipur,14,Imphal East,255,Imphal East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,2016,Manipur,14,Imphal West,256,Imphal West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,2016,Manipur,14,Senapati,257,Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,2016,Manipur,14,Tamenglong,258,Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,2016,Manipur,14,Thoubal,259,Thoubal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,2016,Manipur,14,Ukhrul,260,Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,2016,Meghalaya,17,East Garo Hills,273,Garo Hills East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,2016,Meghalaya,17,North Garo Hills,656,Garo Hills North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,2016,Meghalaya,17,South Garo Hills,277,Garo Hills South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
